Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Year,Quarter,Month_Number,Month,Day,Day_Name
EK1034,2024-02-18,DXB,FRA,DXB-FRA,Airbus A380,500,422,0.8424,14.41,Winter,Long-haul,High,466183.7,63570.5,529754.2,326791.07,133896.88,62813.86,178264.13,31804.48,35621.02,40868.76,27192.83,26715.77,315182.44,40391.69,252368.58,94936.38,23376.3,364356.08,165398.12,0.3122,2024,1,2,February,18,Sunday
EK1035,2024-02-19,DXB,FRA,DXB-FRA,Airbus A380,500,420,0.8392,12.94,Winter,Long-haul,High,498516.54,67979.53,566496.07,353819.23,144971.19,68009.05,193007.96,34434.96,38567.16,44248.93,29441.89,28925.37,341250.47,43732.4,273241.42,102788.36,25309.7,394491.15,172004.92,0.3036,2024,1,2,February,19,Monday
EK1036,2024-02-20,DXB,FRA,DXB-FRA,Airbus A380,500,424,0.8468,10.95,Winter,Long-haul,High,402457.4,54880.56,457337.96,273520.02,112070.0,52574.41,149204.84,26619.95,29814.35,34206.64,22760.06,22360.76,263803.74,33807.34,211229.33,79460.56,19565.67,304961.46,152376.5,0.3332,2024,1,2,February,20,Tuesday
EK1037,2024-02-20,DXB,FRA,DXB-FRA,Airbus A380,500,428,0.8548,12.72,Winter,Long-haul,High,502900.17,68577.3,571477.47,357483.67,146472.63,68713.41,195006.91,34791.6,38966.59,44707.2,29746.82,29224.94,344784.73,44185.33,276071.33,103852.92,25571.82,398576.82,172900.65,0.3026,2024,1,2,February,20,Tuesday
EK1038,2024-02-21,DXB,FRA,DXB-FRA,Airbus A380,500,419,0.8376,13.58,Winter,Long-haul,High,439725.99,59962.63,499688.62,304674.14,124834.85,58562.67,166199.37,29651.98,33210.22,26383.38,25352.45,24907.67,293851.17,37658.02,235288.5,88511.17,21794.21,339696.78,159991.84,0.3202,2024,1,2,February,21,Wednesday
EK1039,2024-02-21,DXB,FRA,DXB-FRA,Airbus A380,500,427,0.8534,8.02,Winter,Long-haul,High,497717.59,67870.58,565588.17,353151.36,144697.54,67880.68,192643.64,34369.96,38494.36,44165.4,29386.32,28870.77,340606.33,43649.85,272725.65,102594.34,25261.92,393746.51,171841.66,0.3038,2024,1,2,February,21,Wednesday
EK1040,2024-02-22,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8502,12.37,Winter,Long-haul,High,480278.73,65492.55,545771.28,338573.6,138724.56,65078.62,184691.49,32951.2,36905.35,42342.29,28173.28,27679.01,326546.41,41848.03,261467.79,98359.34,24219.13,377493.02,168278.26,0.3083,2024,1,2,February,22,Thursday
EK1041,2024-02-22,DXB,FRA,DXB-FRA,Airbus A380,500,442,0.8828,9.44,Winter,Long-haul,High,433496.83,59113.2,492610.03,299466.96,122701.31,57561.78,163358.86,29145.2,32642.63,37451.59,24919.15,24481.97,288828.97,37014.41,231267.19,86998.43,21421.72,333891.03,158719.0,0.3222,2024,1,2,February,22,Thursday
EK1042,2024-02-22,DXB,FRA,DXB-FRA,Airbus A380,500,419,0.8379,8.04,Winter,Long-haul,High,571562.24,77940.3,649502.54,414880.7,169990.05,79745.93,226316.92,40377.68,45223.01,51885.32,34522.92,33917.25,400142.85,51279.66,320396.92,120527.39,29677.6,462571.71,186930.83,0.2878,2024,1,2,February,22,Thursday
EK1043,2024-02-23,DXB,FRA,DXB-FRA,Airbus A380,500,433,0.8643,12.29,Winter,Long-haul,High,429018.42,58502.51,487520.93,295723.31,121167.41,56842.19,161316.71,28780.86,32234.56,36983.4,24607.63,24175.92,285218.3,36551.69,228376.1,85910.86,21153.93,329717.04,157803.89,0.3237,2024,1,2,February,23,Friday
EK1044,2024-02-23,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8413,12.58,Winter,Long-haul,High,508176.16,69296.75,577472.91,361894.05,148279.7,69561.14,197412.77,35220.83,39447.33,45258.77,30113.81,29585.5,349038.45,44730.46,279477.31,105134.18,25887.31,403494.19,173978.72,0.3013,2024,1,2,February,23,Friday
EK1045,2024-02-23,DXB,FRA,DXB-FRA,Airbus A380,500,434,0.8677,14.41,Winter,Long-haul,High,426876.16,58210.38,485086.54,293932.52,120433.66,56497.98,160339.83,28606.57,32039.36,36759.44,24458.62,24029.52,283491.12,36330.35,226993.14,85390.61,21025.83,327720.39,157366.15,0.3244,2024,1,2,February,23,Friday
EK1046,2024-02-24,DXB,FRA,DXB-FRA,Airbus A380,500,422,0.843,13.39,Winter,Long-haul,High,547669.76,74682.24,622352.0,394908.14,161806.65,75906.92,215421.91,38433.88,43045.95,49387.54,32860.97,32284.46,380879.78,48811.03,304972.86,114725.14,28248.9,440303.28,182048.72,0.2925,2024,1,2,February,24,Saturday
EK1047,2024-02-28,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8501,12.88,Winter,Long-haul,High,566359.53,77230.84,643590.37,410531.58,168208.07,78909.96,223944.48,39954.41,44748.94,51341.42,34161.02,33561.71,395948.22,50742.1,317038.26,119263.92,29366.49,457722.65,185867.72,0.2888,2024,1,2,February,28,Wednesday
EK1048,2024-02-29,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8507,8.4,Winter,Long-haul,High,567989.98,77453.18,645443.16,411894.53,168766.52,79171.94,224687.96,40087.06,44897.51,51511.87,34274.44,33673.13,397262.75,50910.56,318090.81,119659.87,29463.99,459242.27,186200.89,0.2885,2024,1,2,February,29,Thursday
EK1049,2024-03-02,DXB,FRA,DXB-FRA,Airbus A380,500,414,0.827,8.29,Spring,Long-haul,Medium,518388.39,70689.33,589077.72,370430.82,151777.49,71202.03,202069.56,36051.66,40377.86,46326.38,30824.17,30283.4,357271.96,45785.61,286069.93,107614.21,26497.97,413012.26,176065.46,0.2989,2024,1,3,March,2,Saturday
EK1050,2024-03-02,DXB,FRA,DXB-FRA,Airbus A380,500,435,0.8692,13.47,Spring,Long-haul,Medium,497375.63,67823.95,565199.58,352865.51,144580.42,67825.73,192487.7,34342.14,38463.2,44129.65,29362.53,28847.4,340330.62,43614.52,272504.89,102511.29,25241.47,393427.8,171771.78,0.3039,2024,1,3,March,2,Saturday
EK1051,2024-03-03,DXB,FRA,DXB-FRA,Airbus A380,500,430,0.8597,12.43,Spring,Long-haul,Medium,437859.12,59708.06,497567.18,303113.56,124195.44,58262.7,165348.08,29500.1,33040.12,26383.38,25222.59,24780.09,292346.02,37465.13,234083.32,88057.81,21682.58,337956.81,159610.37,0.3208,2024,1,3,March,3,Sunday
EK1052,2024-03-03,DXB,FRA,DXB-FRA,Airbus A380,500,436,0.8705,11.63,Spring,Long-haul,Medium,469339.7,64000.87,533340.57,329429.29,134977.84,63320.96,179703.28,32061.24,35908.59,41198.7,27412.36,26931.45,317726.93,40717.78,254405.98,95702.82,23565.01,367297.56,166043.01,0.3113,2024,1,3,March,3,Sunday
EK1053,2024-03-05,DXB,FRA,DXB-FRA,Airbus A380,500,437,0.8725,10.28,Spring,Long-haul,Medium,509698.83,69504.39,579203.22,363166.91,148801.23,69805.8,198107.11,35344.71,39586.08,45417.95,30219.73,29689.56,350266.09,44887.78,280460.28,105503.96,25978.36,404913.36,174289.86,0.3009,2024,1,3,March,5,Tuesday
EK1054,2024-03-06,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8511,13.99,Spring,Long-haul,Medium,486876.73,66392.28,553269.01,344089.11,140984.44,66138.78,187700.19,33487.99,37506.55,43032.07,28632.23,28129.91,331865.99,42529.75,265727.21,99961.65,24613.67,383642.54,169626.47,0.3066,2024,1,3,March,6,Wednesday
EK1055,2024-03-08,DXB,FRA,DXB-FRA,Airbus A380,500,410,0.819,11.93,Spring,Long-haul,Medium,442632.04,60358.91,502990.95,307103.41,125830.21,59029.61,167524.54,29888.41,33475.02,38406.61,25554.59,25106.26,296194.14,37958.28,237164.53,89216.9,21967.98,342405.3,160585.65,0.3193,2024,1,3,March,8,Friday
EK1056,2024-03-12,DXB,FRA,DXB-FRA,Airbus A380,500,425,0.8487,8.56,Spring,Long-haul,Medium,424841.07,57932.87,482773.94,292231.31,119736.63,56170.98,159411.82,28441.0,31853.92,36546.69,24317.06,23890.44,281850.35,36120.07,225679.36,84896.4,20904.14,325823.63,156950.31,0.3251,2024,1,3,March,12,Tuesday
EK1057,2024-03-15,DXB,FRA,DXB-FRA,Airbus A380,500,425,0.8491,12.17,Spring,Long-haul,Medium,430722.2,58734.85,489457.05,297147.56,121750.97,57115.95,162093.63,28919.47,32389.81,37161.52,24726.15,24292.36,286591.95,36727.73,229476.0,86324.62,21255.81,331305.01,158152.04,0.3231,2024,1,3,March,15,Friday
EK1058,2024-03-21,DXB,FRA,DXB-FRA,Airbus A380,500,433,0.8643,9.45,Spring,Long-haul,Medium,431545.85,58847.16,490393.01,297836.08,122033.08,57248.3,162469.22,28986.48,32464.86,37247.63,24783.44,24348.64,287256.01,36812.83,230007.71,86524.64,21305.06,332072.67,158320.34,0.3228,2024,1,3,March,21,Thursday
EK1059,2024-03-21,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8417,11.02,Spring,Long-haul,Medium,521693.37,71140.01,592833.38,373193.56,152909.48,71733.07,203576.64,36320.54,40679.01,46671.9,31054.06,30509.25,359936.57,46127.09,288203.5,108416.82,26695.6,416092.59,176740.79,0.2981,2024,1,3,March,21,Thursday
EK1060,2024-03-21,DXB,FRA,DXB-FRA,Airbus A380,500,417,0.832,8.07,Spring,Long-haul,Medium,553859.46,75526.29,629385.75,400082.33,163926.68,76901.47,218244.42,38937.45,43609.95,50034.63,33291.52,32707.46,385870.16,49450.57,308968.69,116228.3,28619.03,446072.25,183313.5,0.2913,2024,1,3,March,21,Thursday
EK1061,2024-03-26,DXB,FRA,DXB-FRA,Airbus A380,500,430,0.8592,8.79,Spring,Long-haul,Medium,437224.37,59621.51,496845.88,302582.96,123978.03,58160.71,165058.63,29448.46,32982.28,37841.27,25178.44,24736.71,291834.27,37399.55,233673.55,87903.66,21644.62,337365.21,159480.67,0.321,2024,1,3,March,26,Tuesday
EK1062,2024-03-28,DXB,FRA,DXB-FRA,Airbus A380,500,431,0.8614,10.08,Spring,Long-haul,Medium,481682.36,65683.96,547366.32,339746.95,139205.32,65304.16,185331.55,33065.4,37033.24,42489.04,28270.91,27774.93,327678.08,41993.05,262373.93,98700.21,24303.07,378801.25,168565.07,0.308,2024,1,3,March,28,Thursday
EK1063,2024-03-29,DXB,FRA,DXB-FRA,Airbus A380,500,430,0.8586,11.08,Spring,Long-haul,Medium,493900.02,67350.0,561250.02,349960.12,143389.99,67267.27,190902.82,34059.38,38146.5,43766.3,29120.77,28609.88,337528.45,43255.41,270261.18,101667.25,25033.64,390188.44,171061.58,0.3048,2024,1,3,March,29,Friday
EK1064,2024-04-01,DXB,FRA,DXB-FRA,Airbus A380,500,428,0.8547,9.2,Spring,Long-haul,Medium,447741.42,61055.65,508797.07,311374.53,127580.22,59850.58,169854.43,30304.09,33940.58,26383.38,25910.0,25455.44,300313.53,38486.19,240462.96,90457.71,22273.51,347167.38,161629.69,0.3177,2024,2,4,April,1,Monday
EK1065,2024-04-05,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8403,8.34,Spring,Long-haul,Medium,556835.55,75932.12,632767.67,402570.15,164946.02,77379.66,219601.53,39179.58,43881.13,50345.76,33498.54,32910.84,388269.6,49758.06,310889.94,116951.04,28796.99,448846.05,183921.62,0.2907,2024,2,4,April,5,Friday
EK1066,2024-04-05,DXB,FRA,DXB-FRA,Airbus A380,500,417,0.8338,10.99,Spring,Long-haul,Medium,415726.49,56689.98,472416.47,284612.12,116614.8,54706.47,155255.57,27699.48,31023.41,35593.83,23683.05,23267.56,274501.81,35178.34,219795.35,82682.94,20359.12,317328.61,155087.86,0.3283,2024,2,4,April,5,Friday
EK1067,2024-04-06,DXB,FRA,DXB-FRA,Airbus A380,500,418,0.8344,9.49,Spring,Long-haul,Medium,464219.05,63302.6,527521.65,325148.76,133223.97,62498.18,177368.25,31644.65,35442.01,40663.37,27056.17,26581.5,313598.46,40188.7,251100.28,94459.27,23258.82,362524.98,164996.67,0.3128,2024,2,4,April,6,Saturday
EK1068,2024-04-06,DXB,FRA,DXB-FRA,Airbus A380,500,424,0.8471,14.41,Spring,Long-haul,Medium,506834.56,69113.8,575948.36,360772.56,147820.19,69345.58,196800.99,35111.68,39325.09,45118.51,30020.49,29493.81,347956.79,44591.84,278611.21,104808.38,25807.09,402243.77,173704.59,0.3016,2024,2,4,April,6,Saturday
EK1069,2024-04-07,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8402,8.81,Spring,Long-haul,Medium,450524.94,61435.22,511960.16,313701.36,128533.6,60297.83,171123.71,30530.55,34194.21,39231.75,26103.62,25645.66,302557.71,38773.79,242259.89,91133.68,22439.95,349761.69,162198.47,0.3168,2024,2,4,April,7,Sunday
EK1070,2024-04-08,DXB,FRA,DXB-FRA,Airbus A380,500,422,0.8427,11.17,Spring,Long-haul,Medium,472527.23,64435.53,536962.76,332093.86,136069.6,63833.13,181156.8,32320.57,36199.04,41531.93,27634.09,27149.28,320296.85,41047.12,256463.72,96476.9,23755.62,370268.42,166694.34,0.3104,2024,2,4,April,8,Monday
EK1071,2024-04-08,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8413,8.7,Spring,Long-haul,Medium,517873.9,70619.17,588493.07,370000.74,151601.28,71119.36,201834.95,36009.8,40330.98,46272.6,30788.38,30248.24,356857.16,45732.45,285737.8,107489.27,26467.21,412532.74,175960.33,0.299,2024,2,4,April,8,Monday
EK1072,2024-04-08,DXB,FRA,DXB-FRA,Airbus A380,500,431,0.8613,9.46,Spring,Long-haul,Medium,535582.57,73033.99,608616.56,384804.04,157666.67,73964.77,209910.13,37450.51,41944.58,48123.91,32020.19,31458.43,371134.6,47562.15,297169.83,111789.79,27526.13,429037.7,179578.86,0.2951,2024,2,4,April,8,Monday
EK1073,2024-04-08,DXB,FRA,DXB-FRA,Airbus A380,500,413,0.8256,8.3,Spring,Long-haul,Medium,507685.35,69229.82,576915.17,361483.77,148111.6,69482.28,197188.95,35180.9,39402.61,45207.46,30079.67,29551.96,348642.74,44679.75,279160.46,105014.99,25857.96,403036.74,173878.43,0.3014,2024,2,4,April,8,Monday
EK1074,2024-04-09,DXB,FRA,DXB-FRA,Airbus A380,500,426,0.8507,10.87,Spring,Long-haul,Medium,493983.59,67361.4,561344.99,350029.99,143418.61,67280.7,190940.93,34066.18,38154.12,43775.04,29126.58,28615.59,337595.83,43264.05,270315.13,101687.54,25038.64,390266.33,171078.66,0.3048,2024,2,4,April,9,Tuesday
EK1075,2024-04-10,DXB,FRA,DXB-FRA,Airbus A380,500,433,0.8651,9.28,Spring,Long-haul,Medium,520131.96,70927.09,591059.05,371888.33,152374.68,71482.19,202864.63,36193.51,40536.73,46508.66,30945.45,30402.55,358677.7,45965.76,287195.51,108037.63,26602.23,414637.32,176421.73,0.2985,2024,2,4,April,10,Wednesday
EK1076,2024-04-10,DXB,FRA,DXB-FRA,Airbus A380,500,421,0.8413,10.38,Spring,Long-haul,Medium,461723.15,62962.25,524685.4,323062.34,132369.1,62097.14,176230.12,31441.59,35214.58,40402.44,26882.56,26410.94,311586.16,39930.82,249489.02,93853.15,23109.57,360198.73,164486.67,0.3135,2024,2,4,April,10,Wednesday
